71.58,71.79,70.23,71.25,1597232
71.28,71.47,70.23,70.49,1272749
69.71,70.88,69.34,69.95,1426884
70.11,70.16,68.42,68.56,1626232
68.08,69.8,67.76,69.5,2236749
69.39,71.18,69.39,70.43,1781936
70.68,71.81,70.68,71.4,1959829
71.52,71.985,70.91,71.67,1496359
71.66,71.89,68.37,68.57,2075586
68.22,68.22,64.02,64.38,3166250
64.84,66.31,64.11,65.46,3727556
64.98,66.88,63.82,65.25,2380213
65.82,67.73,65.3,67.37,2400381
68.61,69.75,68.01,68.83,2031832
69.3,70.125,69.17,69.79,1725787
69.74,70.3,68.91,69.46,3144506
70.06,70.55,68.44,68.61,1487441
68.62,69.92,68.62,69.86,2427345
69.5,69.73,68.32,69.22,980719
69.33,69.46,66.18,68.04,1800835
67.99,68.99,67.97,68.04,1437618
68.08,69.24,68.02,69.02,1203265
68.88,68.98,67.9,68.65,1434463
69.77,71.4,69.77,71.25,1558568
71.25,71.39,70.03,70.55,1140283
70.55,70.91,70.18,70.69,872943
70.76,71.08,70.6,70.89,1426448
71.06,71.9,71.06,71.62,1256983
71.67,72.18,71.35,72.16,1130390
72.18,72.32,71.35,71.44,1144836
71.36,71.79,71.04,71.61,906393
71.73,71.81,71.04,71.47,620191
71.46,71.46,68.66,68.96,1599805
68.76,69.38,68.17,69.15,1317858
69.47,69.6,68.18,68.43,1537735
68.2,68.99,68.2,68.39,1304185
68.42,68.92,67.6,67.83,1374098
67.92,67.96,65.3,65.74,2659992
66.03,66.17,64.67,64.72,1989521
64.72,65.8,64.68,64.95,1975706
64.86,65.48,64.7,65.23,1330395
65.37,65.71,64.73,64.74,1700441
64.71,64.75,64,64.2,1333407
64.43,64.68,64.01,64.33,1292467
64.24,64.99,64.06,64.61,2008239
64.54,64.97,64.15,64.43,1291902
64.56,64.57,63.03,63.22,1536305
63.18,63.37,62.63,62.69,1325919
62.19,62.2,60.96,61.08,2285763
60.8,60.91,59.04,59.53,4321043
59.21,59.5,58.53,58.86,2230904
59.04,60.66,59.04,60.33,1717084
60.13,62.424,59.23,61.25,2348427
61.29,61.35,60.4,60.92,1625032
60.88,62.38,60.83,62.37,1732211
62.51,62.57,61.79,62.01,1269116
61.6,63.07,61.271,62.86,1853474
62.75,62.94,62.06,62.76,1681611
62.5,62.59,61.755,62.55,1126035
62.57,63.06,62.07,62.26,1428821
62.94,62.94,61,61.57,1770874
61.7,62.01,61.145,61.72,943439
61.71,61.91,60.35,60.44,1094173
61.38,62.32,61.32,61.46,1513464
61.71,62.16,61.29,62.16,1448450
62.34,62.4879,60.91,61.32,1795196
60.9,61.45,60.72,61.37,1426893
61.34,61.97,60.63,60.71,931063
60.77,61.77,60.54,61.45,1423110
64.47,64.63,62.97,63.23,2058751
63.13,63.79,62.89,62.89,1511787
62.82,65.63,61.43,65.54,2939807
65.82,66.07,64.285,64.33,1941678
64.23,64.29,62.92,62.93,2734054
62.91,63.44,62.46,62.48,1231974
62.49,63.16,61.94,62.41,1844619
62.39,63.07,62.22,62.97,1542636
62.97,63.35,62.68,63.28,1066223
62.96,63.23,62.18,62.66,1498130
62.33,63.09,61.12,61.5,2109250
61.24,63.61,61.24,63.11,1684347
63.06,63.55,62.14,63.48,2127868
63.2,63.38,61.55,62.03,2217045
62.01,62.56,61.47,61.7,1213223
61.16,62.52,61.11,62.12,774481
62.09,62.73,62.02,62.08,1382464
62.14,62.6,61.86,62.05,1042543
62.67,63.75,62.375,63.67,1358151
63.7,64.09,63.04,64.09,1089440
63.46,64.02,63,63.62,1033489
63.37,63.99,62.95,63.3,1060845
63.79,64.77,63.57,64.67,1502531
64.8,66,64.56,65.82,1272974
66.12,66.59,65.3301,65.54,1480396
65.56,65.56,64.53,64.82,1334145
64.93,66.2,64.57,65.84,1076871
65.75,66.28,65.53,66,1258875
65.98,66.07,65.53,66.02,1094335
67.25,67.64,66.32,67.33,1726964
